what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1488611464267
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1488611464367
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1488611464405
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1488611466488
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1488611466526
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1488611466527
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1488611467467
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488611471398
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1488611472633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488611472713
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1488611473851
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1488611473939
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1488611474003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488611486701
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488611497520
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488611500390
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1488611528900
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1488611528942
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488611529161
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1488611751486
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1488611752555
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1488611753607
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1488611760980
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1488611788910
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1488611814055
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1488611815711
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1488611820565
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1488611956755
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1488612374964
error,log,,,"PHPCore plugin internal error",1488612456662
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1488612626150
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1488612626306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612636413
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612638716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612638769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612640471
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612640665
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612642554
activated,view,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.debug.ui.PHPDebugOutput",1488612642719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612643117
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612652611
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1488612652673
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612655562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612667731
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1488612668692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612669504
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612673097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1488612678966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612679553
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612712990
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612713055
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612713577
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1488612715048
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1488612716895
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1488612718889
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1488612740724
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1488612741328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1488612743119
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612782099
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612783141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1488612784805
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612785987
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612790378
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1488612793142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612795201
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612802160
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1488612804854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612806233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488612808470
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1488612827135
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1488612829219
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=1072, length=9>",1488612841942
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=1072, length=9>",1488612841958
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=1073, length=9>",1488612843049
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=1073, length=9>",1488612843055
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=1075, length=9>",1488612845255
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=1075, length=9>",1488612845262
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=1084, length=9>",1488612849419
